 # i,    taui (ni),  alpha ;   j,    tauj  (nj),   beta  :   term  group   rij 
   1  [    1 ( 0, 0, 0) ] 1    48  [    2 (-1,-1,-1) ] 3  :     5    5    9.447
   1  [    1 ( 0, 0, 0) ] 1    30  [    2 (-1,-1, 2) ] 2  :    25    5    6.280
   1  [    1 ( 0, 0, 0) ] 1    30  [    2 (-1,-1, 2) ] 3  :    29    5    6.280
   1  [    1 ( 0, 0, 0) ] 1    16  [    2 (-1, 2,-1) ] 2  :    49    5    4.778
   1  [    1 ( 0, 0, 0) ] 1    16  [    2 (-1, 2,-1) ] 3  :    53    5    4.778
   1  [    1 ( 0, 0, 0) ] 1    62  [    2 ( 2,-1,-1) ] 2  :    73    5    7.058
   1  [    1 ( 0, 0, 0) ] 1    62  [    2 ( 2,-1,-1) ] 3  :    77    5    7.058
   1  [    1 ( 0, 0, 0) ] 1    52  [    1 (-1,-1, 0) ] 1  :     1    6    9.447
   1  [    1 ( 0, 0, 0) ] 1    54  [    1 ( 1, 1, 0) ] 1  :     4    6    8.523
   1  [    1 ( 0, 0, 0) ] 1    35  [    1 (-1, 0,-1) ] 1  :     9    6    7.058
   1  [    1 ( 0, 0, 0) ] 1    40  [    1 ( 1, 0, 1) ] 1  :    12    6    4.778
   1  [    1 ( 0, 0, 0) ] 1    56  [    1 (-2, 0, 1) ] 1  :    25    6    7.486
   1  [    1 ( 0, 0, 0) ] 1    50  [    1 ( 2, 0,-1) ] 1  :    28    6    7.486
   1  [    1 ( 0, 0, 0) ] 1    39  [    1 (-2, 1, 0) ] 1  :    33    6    4.075
   1  [    1 ( 0, 0, 0) ] 1    36  [    1 ( 2,-1, 0) ] 1  :    36    6    9.447
   1  [    1 ( 0, 0, 0) ] 1    54  [    1 (-1,-1, 2) ] 1  :    49    6    8.523
   1  [    1 ( 0, 0, 0) ] 1    52  [    1 ( 1, 1,-2) ] 1  :    52    6    9.447
   1  [    1 ( 0, 0, 0) ] 1    40  [    1 (-1, 2,-1) ] 1  :    65    6    4.778
   1  [    1 ( 0, 0, 0) ] 1    35  [    1 ( 1,-2, 1) ] 1  :    68    6    7.058
   1  [    1 ( 0, 0, 0) ] 1    50  [    1 ( 0,-2, 1) ] 1  :    81    6    7.486
   1  [    1 ( 0, 0, 0) ] 1    56  [    1 ( 0, 2,-1) ] 1  :    84    6    7.486
   1  [    1 ( 0, 0, 0) ] 1    39  [    1 ( 0,-1, 2) ] 1  :    89    6    4.075
   1  [    1 ( 0, 0, 0) ] 1    36  [    1 ( 0, 1,-2) ] 1  :    92    6    9.447
   1  [    1 ( 0, 0, 0) ] 1    52  [    1 (-1,-1, 0) ] 2  :     1    7    9.447
   1  [    1 ( 0, 0, 0) ] 1    54  [    1 ( 1, 1, 0) ] 2  :     8    7    8.523
   1  [    1 ( 0, 0, 0) ] 1    35  [    1 (-1, 0,-1) ] 3  :     9    7    7.058
   1  [    1 ( 0, 0, 0) ] 1    40  [    1 ( 1, 0, 1) ] 3  :    16    7    4.778
   1  [    1 ( 0, 0, 0) ] 1    56  [    1 (-2, 0, 1) ] 2  :    25    7    7.486
   1  [    1 ( 0, 0, 0) ] 1    50  [    1 ( 2, 0,-1) ] 2  :    32    7    7.486
   1  [    1 ( 0, 0, 0) ] 1    39  [    1 (-2, 1, 0) ] 3  :    33    7    4.075
   1  [    1 ( 0, 0, 0) ] 1    36  [    1 ( 2,-1, 0) ] 3  :    40    7    9.447
   1  [    1 ( 0, 0, 0) ] 1    54  [    1 (-1,-1, 2) ] 2  :    49    7    8.523
   1  [    1 ( 0, 0, 0) ] 1    52  [    1 ( 1, 1,-2) ] 2  :    56    7    9.447
   1  [    1 ( 0, 0, 0) ] 1    40  [    1 (-1, 2,-1) ] 3  :    65    7    4.778
   1  [    1 ( 0, 0, 0) ] 1    35  [    1 ( 1,-2, 1) ] 3  :    72    7    7.058
   1  [    1 ( 0, 0, 0) ] 1    50  [    1 ( 0,-2, 1) ] 2  :    81    7    7.486
   1  [    1 ( 0, 0, 0) ] 1    56  [    1 ( 0, 2,-1) ] 2  :    88    7    7.486
   1  [    1 ( 0, 0, 0) ] 1    39  [    1 ( 0,-1, 2) ] 3  :    89    7    4.075
   1  [    1 ( 0, 0, 0) ] 1    36  [    1 ( 0, 1,-2) ] 3  :    96    7    9.447
   1  [    1 ( 0, 0, 0) ] 1    54  [    1 ( 1, 1, 0) ] 3  :     4    8    8.523
   1  [    1 ( 0, 0, 0) ] 1    40  [    1 ( 1, 0, 1) ] 2  :    12    8    4.778
   1  [    1 ( 0, 0, 0) ] 1    23  [    1 ( 0,-1,-1) ] 2  :    17    8    4.075
   1  [    1 ( 0, 0, 0) ] 1    23  [    1 ( 0,-1,-1) ] 3  :    21    8    4.075
   1  [    1 ( 0, 0, 0) ] 1    56  [    1 (-2, 0, 1) ] 3  :    25    8    7.486
   1  [    1 ( 0, 0, 0) ] 1    39  [    1 (-2, 1, 0) ] 2  :    33    8    4.075
   1  [    1 ( 0, 0, 0) ] 1    22  [    1 ( 2,-1,-1) ] 2  :    44    8    4.778
   1  [    1 ( 0, 0, 0) ] 1    22  [    1 ( 2,-1,-1) ] 3  :    48    8    4.778
   1  [    1 ( 0, 0, 0) ] 1    52  [    1 ( 1, 1,-2) ] 3  :    52    8    9.447
   1  [    1 ( 0, 0, 0) ] 1    21  [    1 (-1, 0, 2) ] 2  :    57    8    7.058
   1  [    1 ( 0, 0, 0) ] 1    21  [    1 (-1, 0, 2) ] 3  :    61    8    7.058
   1  [    1 ( 0, 0, 0) ] 1    35  [    1 ( 1,-2, 1) ] 2  :    68    8    7.058
   1  [    1 ( 0, 0, 0) ] 1    24  [    1 (-1, 2, 0) ] 2  :    73    8    2.495
   1  [    1 ( 0, 0, 0) ] 1    24  [    1 (-1, 2, 0) ] 3  :    77    8    2.495
   1  [    1 ( 0, 0, 0) ] 1    50  [    1 ( 0,-2, 1) ] 3  :    81    8    7.486
   1  [    1 ( 0, 0, 0) ] 1    36  [    1 ( 0, 1,-2) ] 2  :    92    8    9.447
   1  [    1 ( 0, 0, 0) ] 1    52  [    1 (-1,-1, 0) ] 3  :     1    9    9.447
   1  [    1 ( 0, 0, 0) ] 1    35  [    1 (-1, 0,-1) ] 2  :     9    9    7.058
   1  [    1 ( 0, 0, 0) ] 1    22  [    1 ( 0, 1, 1) ] 2  :    20    9    4.778
   1  [    1 ( 0, 0, 0) ] 1    22  [    1 ( 0, 1, 1) ] 3  :    24    9    4.778
   1  [    1 ( 0, 0, 0) ] 1    50  [    1 ( 2, 0,-1) ] 3  :    28    9    7.486
   1  [    1 ( 0, 0, 0) ] 1    36  [    1 ( 2,-1, 0) ] 2  :    36    9    9.447
   1  [    1 ( 0, 0, 0) ] 1    23  [    1 (-2, 1, 1) ] 2  :    41    9    4.075
   1  [    1 ( 0, 0, 0) ] 1    23  [    1 (-2, 1, 1) ] 3  :    45    9    4.075
   1  [    1 ( 0, 0, 0) ] 1    54  [    1 (-1,-1, 2) ] 3  :    49    9    8.523
   1  [    1 ( 0, 0, 0) ] 1    24  [    1 ( 1, 0,-2) ] 2  :    60    9    2.495
   1  [    1 ( 0, 0, 0) ] 1    24  [    1 ( 1, 0,-2) ] 3  :    64    9    2.495
   1  [    1 ( 0, 0, 0) ] 1    40  [    1 (-1, 2,-1) ] 2  :    65    9    4.778
   1  [    1 ( 0, 0, 0) ] 1    21  [    1 ( 1,-2, 0) ] 2  :    76    9    7.058
   1  [    1 ( 0, 0, 0) ] 1    21  [    1 ( 1,-2, 0) ] 3  :    80    9    7.058
   1  [    1 ( 0, 0, 0) ] 1    56  [    1 ( 0, 2,-1) ] 3  :    84    9    7.486
   1  [    1 ( 0, 0, 0) ] 1    39  [    1 ( 0,-1, 2) ] 2  :    89    9    4.075
   1  [    1 ( 0, 0, 0) ] 1    23  [    1 ( 0,-1,-1) ] 1  :     9   10    4.075
   1  [    1 ( 0, 0, 0) ] 1    22  [    1 ( 0, 1, 1) ] 1  :    12   10    4.778
   1  [    1 ( 0, 0, 0) ] 1    23  [    1 (-2, 1, 1) ] 1  :    21   10    4.075
   1  [    1 ( 0, 0, 0) ] 1    22  [    1 ( 2,-1,-1) ] 1  :    24   10    4.778
   1  [    1 ( 0, 0, 0) ] 1    21  [    1 (-1, 0, 2) ] 1  :    29   10    7.058
   1  [    1 ( 0, 0, 0) ] 1    24  [    1 ( 1, 0,-2) ] 1  :    32   10    2.495
   1  [    1 ( 0, 0, 0) ] 1    24  [    1 (-1, 2, 0) ] 1  :    37   10    2.495
   1  [    1 ( 0, 0, 0) ] 1    21  [    1 ( 1,-2, 0) ] 1  :    40   10    7.058
   1  [    1 ( 0, 0, 0) ] 1    28  [    2 (-1,-1, 0) ] 1  :     1   11    2.495
   1  [    1 ( 0, 0, 0) ] 1    42  [    2 (-1,-1, 1) ] 1  :     9   11    7.486
   1  [    1 ( 0, 0, 0) ] 1    11  [    2 (-1, 0,-1) ] 1  :    17   11    4.075
   1  [    1 ( 0, 0, 0) ] 1    43  [    2 (-1, 1,-1) ] 1  :    33   11    4.075
   1  [    1 ( 0, 0, 0) ] 1    57  [    2 ( 0,-1, 1) ] 1  :    57   11    9.112
   1  [    1 ( 0, 0, 0) ] 1    60  [    2 ( 0, 1,-1) ] 1  :    65   11    8.150
   1  [    1 ( 0, 0, 0) ] 1    25  [    2 ( 1,-1, 0) ] 1  :    81   11    4.075
   1  [    1 ( 0, 0, 0) ] 1    10  [    2 ( 1, 0,-1) ] 1  :    89   11    4.778
   1  [    1 ( 0, 0, 0) ] 1    28  [    2 (-1,-1, 0) ] 2  :     1   12    2.495
   1  [    1 ( 0, 0, 0) ] 1    42  [    2 (-1,-1, 1) ] 2  :     9   12    7.486
   1  [    1 ( 0, 0, 0) ] 1    11  [    2 (-1, 0,-1) ] 3  :    17   12    4.075
   1  [    1 ( 0, 0, 0) ] 1    43  [    2 (-1, 1,-1) ] 3  :    33   12    4.075
   1  [    1 ( 0, 0, 0) ] 1    57  [    2 ( 0,-1, 1) ] 3  :    57   12    9.112
   1  [    1 ( 0, 0, 0) ] 1    60  [    2 ( 0, 1,-1) ] 2  :    65   12    8.150
   1  [    1 ( 0, 0, 0) ] 1    25  [    2 ( 1,-1, 0) ] 3  :    81   12    4.075
   1  [    1 ( 0, 0, 0) ] 1    10  [    2 ( 1, 0,-1) ] 2  :    89   12    4.778
   1  [    1 ( 0, 0, 0) ] 1    28  [    2 (-1,-1, 0) ] 3  :     1   13    2.495
   1  [    1 ( 0, 0, 0) ] 1    42  [    2 (-1,-1, 1) ] 3  :    17   13    7.486
   1  [    1 ( 0, 0, 0) ] 1    11  [    2 (-1, 0,-1) ] 2  :    33   13    4.075
   1  [    1 ( 0, 0, 0) ] 1    13  [    2 (-1, 0, 1) ] 2  :    49   13    4.075
   1  [    1 ( 0, 0, 0) ] 1    13  [    2 (-1, 0, 1) ] 3  :    53   13    4.075
   1  [    1 ( 0, 0, 0) ] 1    43  [    2 (-1, 1,-1) ] 2  :    65   13    4.075
   1  [    1 ( 0, 0, 0) ] 1    31  [    2 (-1, 1, 0) ] 2  :    81   13    4.075
   1  [    1 ( 0, 0, 0) ] 1    31  [    2 (-1, 1, 0) ] 3  :    85   13    4.075
   1  [    1 ( 0, 0, 0) ] 1    63  [    2 ( 0,-1,-1) ] 2  :    97   13    6.280
   1  [    1 ( 0, 0, 0) ] 1    63  [    2 ( 0,-1,-1) ] 3  :   101   13    6.280
   1  [    1 ( 0, 0, 0) ] 1    57  [    2 ( 0,-1, 1) ] 2  :   113   13    9.112
   1  [    1 ( 0, 0, 0) ] 1    60  [    2 ( 0, 1,-1) ] 3  :   129   13    8.150
   1  [    1 ( 0, 0, 0) ] 1    45  [    2 ( 1,-1,-1) ] 2  :   145   13    4.075
   1  [    1 ( 0, 0, 0) ] 1    45  [    2 ( 1,-1,-1) ] 3  :   149   13    4.075
   1  [    1 ( 0, 0, 0) ] 1    25  [    2 ( 1,-1, 0) ] 2  :   161   13    4.075
   1  [    1 ( 0, 0, 0) ] 1    10  [    2 ( 1, 0,-1) ] 3  :   177   13    4.778
   1  [    1 ( 0, 0, 0) ] 1    13  [    2 (-1, 0, 1) ] 1  :    13   14    4.075
   1  [    1 ( 0, 0, 0) ] 1    31  [    2 (-1, 1, 0) ] 1  :    21   14    4.075
   1  [    1 ( 0, 0, 0) ] 1    63  [    2 ( 0,-1,-1) ] 1  :    25   14    6.280
   1  [    1 ( 0, 0, 0) ] 1    45  [    2 ( 1,-1,-1) ] 1  :    37   14    4.075
   1  [    1 ( 0, 0, 0) ] 1     2  [    1 (-1,-1, 1) ] 1  :     1   15    2.495
   1  [    1 ( 0, 0, 0) ] 1     2  [    1 ( 1, 1,-1) ] 1  :     4   15    2.495
   1  [    1 ( 0, 0, 0) ] 1     3  [    1 (-1, 1,-1) ] 1  :     9   15    9.982
   1  [    1 ( 0, 0, 0) ] 1     3  [    1 ( 1,-1, 1) ] 1  :    12   15    9.982
   1  [    1 ( 0, 0, 0) ] 1     5  [    1 (-1, 1, 1) ] 1  :     9   16    7.058
   1  [    1 ( 0, 0, 0) ] 1     5  [    1 ( 1,-1,-1) ] 1  :    12   16    7.058
   1  [    1 ( 0, 0, 0) ] 1    19  [    1 (-1, 0, 0) ] 1  :     1   17    5.763
   1  [    1 ( 0, 0, 0) ] 1    18  [    1 ( 1, 0, 0) ] 1  :     4   17    4.778
   1  [    1 ( 0, 0, 0) ] 1    17  [    1 ( 0,-1, 1) ] 1  :    17   17    4.075
   1  [    1 ( 0, 0, 0) ] 1    20  [    1 ( 0, 1,-1) ] 1  :    20   17    7.486
   1  [    1 ( 0, 0, 0) ] 1    19  [    1 (-1, 0, 0) ] 2  :     1   18    5.763
   1  [    1 ( 0, 0, 0) ] 1    19  [    1 (-1, 0, 0) ] 3  :     5   18    5.763
   1  [    1 ( 0, 0, 0) ] 1    18  [    1 ( 1, 0, 0) ] 2  :    12   18    4.778
   1  [    1 ( 0, 0, 0) ] 1    18  [    1 ( 1, 0, 0) ] 3  :    16   18    4.778
   1  [    1 ( 0, 0, 0) ] 1    37  [    1 (-1, 0, 1) ] 2  :    17   18    5.763
   1  [    1 ( 0, 0, 0) ] 1    34  [    1 ( 1, 0,-1) ] 2  :    24   18    6.280
   1  [    1 ( 0, 0, 0) ] 1    55  [    1 (-1, 1, 0) ] 3  :    33   18    9.112
   1  [    1 ( 0, 0, 0) ] 1    49  [    1 ( 1,-1, 0) ] 3  :    44   18    5.763
   1  [    1 ( 0, 0, 0) ] 1    33  [    1 ( 0,-1, 0) ] 2  :    49   18    4.075
   1  [    1 ( 0, 0, 0) ] 1    38  [    1 ( 0, 1, 0) ] 2  :    56   18    4.778
   1  [    1 ( 0, 0, 0) ] 1    17  [    1 ( 0,-1, 1) ] 2  :    65   18    4.075
   1  [    1 ( 0, 0, 0) ] 1    17  [    1 ( 0,-1, 1) ] 3  :    69   18    4.075
   1  [    1 ( 0, 0, 0) ] 1    20  [    1 ( 0, 1,-1) ] 2  :    76   18    7.486
   1  [    1 ( 0, 0, 0) ] 1    20  [    1 ( 0, 1,-1) ] 3  :    80   18    7.486
   1  [    1 ( 0, 0, 0) ] 1    51  [    1 ( 0, 0,-1) ] 3  :    81   18    7.058
   1  [    1 ( 0, 0, 0) ] 1    53  [    1 ( 0, 0, 1) ] 3  :    92   18    9.982
   1  [    1 ( 0, 0, 0) ] 1    37  [    1 (-1, 0, 1) ] 1  :     9   19    5.763
   1  [    1 ( 0, 0, 0) ] 1    34  [    1 ( 1, 0,-1) ] 1  :    12   19    6.280
   1  [    1 ( 0, 0, 0) ] 1    55  [    1 (-1, 1, 0) ] 1  :    17   19    9.112
   1  [    1 ( 0, 0, 0) ] 1    49  [    1 ( 1,-1, 0) ] 1  :    20   19    5.763
   1  [    1 ( 0, 0, 0) ] 1    33  [    1 ( 0,-1, 0) ] 1  :    25   19    4.075
   1  [    1 ( 0, 0, 0) ] 1    38  [    1 ( 0, 1, 0) ] 1  :    28   19    4.778
   1  [    1 ( 0, 0, 0) ] 1    51  [    1 ( 0, 0,-1) ] 1  :    41   19    7.058
   1  [    1 ( 0, 0, 0) ] 1    53  [    1 ( 0, 0, 1) ] 1  :    44   19    9.982
   1  [    1 ( 0, 0, 0) ] 1    37  [    1 (-1, 0, 1) ] 3  :     9   20    5.763
   1  [    1 ( 0, 0, 0) ] 1    34  [    1 ( 1, 0,-1) ] 3  :    16   20    6.280
   1  [    1 ( 0, 0, 0) ] 1    55  [    1 (-1, 1, 0) ] 2  :    17   20    9.112
   1  [    1 ( 0, 0, 0) ] 1    49  [    1 ( 1,-1, 0) ] 2  :    24   20    5.763
   1  [    1 ( 0, 0, 0) ] 1    33  [    1 ( 0,-1, 0) ] 3  :    25   20    4.075
   1  [    1 ( 0, 0, 0) ] 1    38  [    1 ( 0, 1, 0) ] 3  :    32   20    4.778
   1  [    1 ( 0, 0, 0) ] 1    51  [    1 ( 0, 0,-1) ] 2  :    41   20    7.058
   1  [    1 ( 0, 0, 0) ] 1    53  [    1 ( 0, 0, 1) ] 2  :    48   20    9.982
   1  [    1 ( 0, 0, 0) ] 1    45  [    2 (-1, 1, 1) ] 1  :     1   21    4.075
   1  [    1 ( 0, 0, 0) ] 1    63  [    2 (-2, 1, 1) ] 1  :    21   21    6.280
   1  [    1 ( 0, 0, 0) ] 1    13  [    2 ( 1,-2,-1) ] 1  :    33   21    4.075
   1  [    1 ( 0, 0, 0) ] 1    31  [    2 ( 1,-1,-2) ] 1  :    41   21    4.075
   1  [    1 ( 0, 0, 0) ] 1    45  [    2 (-1, 1, 1) ] 2  :     1   22    4.075
   1  [    1 ( 0, 0, 0) ] 1    45  [    2 (-1, 1, 1) ] 3  :     5   22    4.075
   1  [    1 ( 0, 0, 0) ] 1    43  [    2 ( 1,-1, 1) ] 2  :    17   22    4.075
   1  [    1 ( 0, 0, 0) ] 1    42  [    2 ( 1, 1,-1) ] 3  :    33   22    7.486
   1  [    1 ( 0, 0, 0) ] 1    60  [    2 (-2,-1, 1) ] 3  :    49   22    8.150
   1  [    1 ( 0, 0, 0) ] 1    57  [    2 (-2, 1,-1) ] 2  :    65   22    9.112
   1  [    1 ( 0, 0, 0) ] 1    63  [    2 (-2, 1, 1) ] 2  :    81   22    6.280
   1  [    1 ( 0, 0, 0) ] 1    63  [    2 (-2, 1, 1) ] 3  :    85   22    6.280
   1  [    1 ( 0, 0, 0) ] 1    10  [    2 (-1,-2, 1) ] 3  :    97   22    4.778
   1  [    1 ( 0, 0, 0) ] 1    25  [    2 (-1, 1,-2) ] 2  :   113   22    4.075
   1  [    1 ( 0, 0, 0) ] 1    13  [    2 ( 1,-2,-1) ] 2  :   129   22    4.075
   1  [    1 ( 0, 0, 0) ] 1    13  [    2 ( 1,-2,-1) ] 3  :   133   22    4.075
   1  [    1 ( 0, 0, 0) ] 1    11  [    2 ( 1,-2, 1) ] 2  :   145   22    4.075
   1  [    1 ( 0, 0, 0) ] 1    31  [    2 ( 1,-1,-2) ] 2  :   161   22    4.075
   1  [    1 ( 0, 0, 0) ] 1    31  [    2 ( 1,-1,-2) ] 3  :   165   22    4.075
   1  [    1 ( 0, 0, 0) ] 1    28  [    2 ( 1, 1,-2) ] 3  :   177   22    2.495
   1  [    1 ( 0, 0, 0) ] 1    43  [    2 ( 1,-1, 1) ] 1  :     9   23    4.075
   1  [    1 ( 0, 0, 0) ] 1    42  [    2 ( 1, 1,-1) ] 1  :    17   23    7.486
   1  [    1 ( 0, 0, 0) ] 1    60  [    2 (-2,-1, 1) ] 1  :    25   23    8.150
   1  [    1 ( 0, 0, 0) ] 1    57  [    2 (-2, 1,-1) ] 1  :    33   23    9.112
   1  [    1 ( 0, 0, 0) ] 1    10  [    2 (-1,-2, 1) ] 1  :    49   23    4.778
   1  [    1 ( 0, 0, 0) ] 1    25  [    2 (-1, 1,-2) ] 1  :    57   23    4.075
   1  [    1 ( 0, 0, 0) ] 1    11  [    2 ( 1,-2, 1) ] 1  :    73   23    4.075
   1  [    1 ( 0, 0, 0) ] 1    28  [    2 ( 1, 1,-2) ] 1  :    89   23    2.495
   1  [    1 ( 0, 0, 0) ] 1    43  [    2 ( 1,-1, 1) ] 3  :     9   24    4.075
   1  [    1 ( 0, 0, 0) ] 1    42  [    2 ( 1, 1,-1) ] 2  :    17   24    7.486
   1  [    1 ( 0, 0, 0) ] 1    60  [    2 (-2,-1, 1) ] 2  :    25   24    8.150
   1  [    1 ( 0, 0, 0) ] 1    57  [    2 (-2, 1,-1) ] 3  :    33   24    9.112
   1  [    1 ( 0, 0, 0) ] 1    10  [    2 (-1,-2, 1) ] 2  :    49   24    4.778
   1  [    1 ( 0, 0, 0) ] 1    25  [    2 (-1, 1,-2) ] 3  :    57   24    4.075
   1  [    1 ( 0, 0, 0) ] 1    11  [    2 ( 1,-2, 1) ] 3  :    73   24    4.075
   1  [    1 ( 0, 0, 0) ] 1    28  [    2 ( 1, 1,-2) ] 2  :    89   24    2.495
   1  [    1 ( 0, 0, 0) ] 1    29  [    2 ( 0, 0, 1) ] 1  :     1   25    4.075
   1  [    1 ( 0, 0, 0) ] 1    14  [    2 ( 0, 1, 0) ] 1  :     9   25    4.778
   1  [    1 ( 0, 0, 0) ] 1    32  [    2 (-2, 0, 1) ] 1  :    33   25    4.778
   1  [    1 ( 0, 0, 0) ] 1    15  [    2 (-2, 1, 0) ] 1  :    41   25    5.763
   1  [    1 ( 0, 0, 0) ] 1    46  [    2 ( 0,-2, 0) ] 1  :    49   25    6.280
   1  [    1 ( 0, 0, 0) ] 1    47  [    2 ( 0, 0,-2) ] 1  :    65   25    7.058
   1  [    1 ( 0, 0, 0) ] 1    61  [    2 ( 1,-2, 0) ] 1  :    81   25    6.280
   1  [    1 ( 0, 0, 0) ] 1    64  [    2 ( 1, 0,-2) ] 1  :    89   25    8.150
   1  [    1 ( 0, 0, 0) ] 1    29  [    2 ( 0, 0, 1) ] 2  :     1   26    4.075
   1  [    1 ( 0, 0, 0) ] 1    14  [    2 ( 0, 1, 0) ] 3  :     9   26    4.778
   1  [    1 ( 0, 0, 0) ] 1    32  [    2 (-2, 0, 1) ] 3  :    33   26    4.778
   1  [    1 ( 0, 0, 0) ] 1    15  [    2 (-2, 1, 0) ] 2  :    41   26    5.763
   1  [    1 ( 0, 0, 0) ] 1    46  [    2 ( 0,-2, 0) ] 3  :    49   26    6.280
   1  [    1 ( 0, 0, 0) ] 1    47  [    2 ( 0, 0,-2) ] 2  :    65   26    7.058
   1  [    1 ( 0, 0, 0) ] 1    61  [    2 ( 1,-2, 0) ] 2  :    81   26    6.280
   1  [    1 ( 0, 0, 0) ] 1    64  [    2 ( 1, 0,-2) ] 3  :    89   26    8.150
   1  [    1 ( 0, 0, 0) ] 1    29  [    2 ( 0, 0, 1) ] 3  :     1   27    4.075
   1  [    1 ( 0, 0, 0) ] 1    14  [    2 ( 0, 1, 0) ] 2  :    17   27    4.778
   1  [    1 ( 0, 0, 0) ] 1    58  [    2 ( 1, 0, 0) ] 2  :    33   27    8.523
   1  [    1 ( 0, 0, 0) ] 1    58  [    2 ( 1, 0, 0) ] 3  :    37   27    8.523
   1  [    1 ( 0, 0, 0) ] 1    44  [    2 (-2, 0, 0) ] 2  :    49   27    4.778
   1  [    1 ( 0, 0, 0) ] 1    44  [    2 (-2, 0, 0) ] 3  :    53   27    4.778
   1  [    1 ( 0, 0, 0) ] 1    32  [    2 (-2, 0, 1) ] 2  :    65   27    4.778
   1  [    1 ( 0, 0, 0) ] 1    15  [    2 (-2, 1, 0) ] 3  :    81   27    5.763
   1  [    1 ( 0, 0, 0) ] 1    46  [    2 ( 0,-2, 0) ] 2  :    97   27    6.280
   1  [    1 ( 0, 0, 0) ] 1    26  [    2 ( 0,-2, 1) ] 2  :   113   27    4.778
   1  [    1 ( 0, 0, 0) ] 1    26  [    2 ( 0,-2, 1) ] 3  :   117   27    4.778
   1  [    1 ( 0, 0, 0) ] 1    47  [    2 ( 0, 0,-2) ] 3  :   129   27    7.058
   1  [    1 ( 0, 0, 0) ] 1    12  [    2 ( 0, 1,-2) ] 2  :   145   27    2.495
   1  [    1 ( 0, 0, 0) ] 1    12  [    2 ( 0, 1,-2) ] 3  :   149   27    2.495
   1  [    1 ( 0, 0, 0) ] 1    61  [    2 ( 1,-2, 0) ] 3  :   161   27    6.280
   1  [    1 ( 0, 0, 0) ] 1    64  [    2 ( 1, 0,-2) ] 2  :   177   27    8.150
   1  [    1 ( 0, 0, 0) ] 1    58  [    2 ( 1, 0, 0) ] 1  :     9   28    8.523
   1  [    1 ( 0, 0, 0) ] 1    44  [    2 (-2, 0, 0) ] 1  :    13   28    4.778
   1  [    1 ( 0, 0, 0) ] 1    26  [    2 ( 0,-2, 1) ] 1  :    29   28    4.778
   1  [    1 ( 0, 0, 0) ] 1    12  [    2 ( 0, 1,-2) ] 1  :    37   28    2.495
   1  [    1 ( 0, 0, 0) ] 1    12  [    2 (-2,-1, 0) ] 1  :     1   29    2.495
   1  [    1 ( 0, 0, 0) ] 1    26  [    2 (-2, 0,-1) ] 1  :     9   29    4.778
   1  [    1 ( 0, 0, 0) ] 1    58  [    2 (-1,-2, 2) ] 1  :    29   29    8.523
   1  [    1 ( 0, 0, 0) ] 1    58  [    2 (-1, 2,-2) ] 1  :    41   29    8.523
   1  [    1 ( 0, 0, 0) ] 1    44  [    2 ( 0,-2, 2) ] 1  :    53   29    4.778
   1  [    1 ( 0, 0, 0) ] 1    44  [    2 ( 0, 2,-2) ] 1  :    65   29    4.778
   1  [    1 ( 0, 0, 0) ] 1    12  [    2 ( 2,-1, 0) ] 1  :    85   29    2.495
